"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"13887","FRA","Europe","France",2020,4,11,90676,4342,3762.571,13197,987,955.714,1389.17,66.52,57.643,202.18,15.121,14.642,NA,NA,NA,NA,NA,NA,NA,NA,"",87.96,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901
"9521","CUW","North America","Curacao",2020,7,21,28,0,0.286,1,0,0,170.628,0,1.741,6.094,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA
"15354","GIB","Europe","Gibraltar",2020,5,9,146,2,0.286,0,0,0,4333.502,59.363,8.48,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",75.93,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA
"1185","ARE","Asia","United Arab Emirates",2020,1,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.863
"41795","VGB","North America","British Virgin Islands",2020,8,9,9,0,0.143,1,0,0,297.649,0,4.725,33.072,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",58.33,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,NA
"18802","IND","Asia","India",2020,6,13,308993,11458,10333.714,8884,386,320.286,223.907,8.303,7.488,6.438,0.28,0.232,151432,5658614,4.1,0.11,141747,0.103,13.717,0.073,"samples tested",76.85,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
"41372","VCT","North America","Saint Vincent and the Grenadines",2020,6,3,26,0,1.143,0,0,0,234.346,0,10.301,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.723
"37144","SWE","Europe","Sweden",2020,5,26,34863,491,531.429,4407,42,49.429,3452.032,48.617,52.62,436.368,4.159,4.894,NA,NA,NA,NA,NA,NA,NA,NA,"",46.3,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.933
"37845","SYR","Asia","Syria",2020,4,22,42,3,1.857,3,0,0.143,2.4,0.171,0.106,0.171,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,"",86.11,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.536
"24398","LTU","Europe","Lithuania",2020,3,19,33,8,4.286,0,0,0,12.122,2.939,1.574,0,0,0,NA,NA,NA,NA,125,0.046,29.167,0.034,"samples tested",81.48,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.858
"20245","ITA","Europe","Italy",2020,2,23,79,62,10.857,2,2,0.286,1.307,1.025,0.18,0.033,0.033,0.005,NA,NA,NA,NA,NA,NA,NA,NA,"",69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88
