"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"27249","MNE","Europe","Montenegro",2020,6,13,324,0,0,9,0,0,515.873,0,0,14.33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,0.814
"26515","MKD","Europe","Macedonia",2020,7,2,6470,120,145.714,306,4,6.714,3105.53,57.599,69.941,146.877,1.92,3.223,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757
"18621","IMN","Europe","Isle of Man",2020,8,30,336,0,0,24,0,0,3951.454,0,0,282.247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA
"5497","BOL","South America","Bolivia",2020,5,1,1167,57,66.286,62,3,2.714,99.974,4.883,5.679,5.311,0.257,0.233,424,6975,0.598,0.036,240,0.021,3.621,0.276,"tests performed",96.3,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.693
"40456","UKR","Europe","Ukraine",2020,8,20,96403,1967,1466.143,2144,28,21.714,2204.315,44.977,33.524,49.024,0.64,0.497,21698,1356698,31.022,0.496,17539,0.401,11.963,0.084,"tests performed",54.17,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751
"23285","LBR","Africa","Liberia",2020,6,2,296,8,4.429,27,0,0.143,58.525,1.582,0.876,5.338,0,0.028,NA,NA,NA,NA,NA,NA,NA,NA,"",84.26,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
"25578","MDA","Europe","Moldova",2020,5,11,4927,60,115.143,169,8,6.286,1221.38,14.874,28.543,41.894,1.983,1.558,NA,NA,NA,NA,NA,NA,NA,NA,"",84.26,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7
"30700","NZL","Oceania","New Zealand",2020,4,11,1035,20,30.143,4,2,0.429,214.631,4.147,6.251,0.829,0.415,0.089,2421,61167,12.684,0.502,3523,0.731,116.877,0.009,"tests performed",96.3,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917
"2790","AZE","Asia","Azerbaijan",2020,7,5,19801,534,558.714,241,6,6.857,1952.92,52.667,55.105,23.769,0.592,0.676,NA,NA,NA,NA,NA,NA,NA,NA,"",96.3,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"14956","GGY","Europe","Guernsey",2020,4,5,136,22,13.857,2,0,0.286,2028.277,328.104,206.663,29.828,0,4.261,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10208","DEU","Europe","Germany",2020,1,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936
"6255","BRN","Asia","Brunei",2020,9,8,145,0,0.143,3,0,0,331.441,0,0.327,6.857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.853
"29028","NCL","Oceania","New Caledonia",2020,3,23,5,1,NA,0,0,NA,17.514,3.503,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,285491,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA
"18018","HUN","Europe","Hungary",2020,3,17,50,11,5.857,1,0,0.143,5.176,1.139,0.606,0.104,0,0.015,117,1587,0.164,0.012,151,0.016,25.78,0.039,"tests performed",67.59,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.838
"2682","AZE","Asia","Azerbaijan",2020,3,19,34,6,3,0,0,0,3.353,0.592,0.296,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",61.11,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"14551","GBR","Europe","United Kingdom",2020,5,8,199404,3827,3830.286,30321,458,519.714,2937.336,56.374,56.422,446.646,6.747,7.656,76741,1420462,20.924,1.13,71111,1.048,18.565,0.054,"tests performed",79.63,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.922
"18876","IND","Asia","India",2020,8,26,3234474,67151,66743,59449,1059,937.143,2343.814,48.66,48.364,43.079,0.767,0.679,924998,38576510,27.954,0.67,845037,0.612,12.661,0.079,"samples tested",79.63,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
"4244","BHR","Asia","Bahrain",2020,2,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",11.11,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846
"6988","CAN","North America","Canada",2020,7,6,105524,219,326.429,8684,10,23.143,2795.919,5.803,8.649,230.088,0.265,0.613,25971,2940849,77.919,0.688,37746,1,115.633,0.009,"people tested",68.98,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926
"39027","TLS","Asia","Timor",2020,6,22,24,0,0,0,0,0,18.203,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",30.56,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
"19314","IRN","Asia","Iran",2020,6,7,169425,2269,2925,8209,75,67.857,2017.134,27.014,34.824,97.734,0.893,0.808,24731,1084857,12.916,0.294,21280,0.253,7.275,0.137,"tests performed",48.15,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798
"34687","SEN","Africa","Senegal",2020,3,22,56,9,5,0,0,0,3.344,0.538,0.299,0,0,0,85,331,0.02,0.005,39,0.002,7.8,0.128,"tests performed",50,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.505
"9996","CZE","Europe","Czech Republic",2020,2,22,0,0,0,0,0,0,0,0,0,0,0,0,NA,83,0.008,NA,1,0,NA,0,"tests performed",16.67,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888
"9070","CRI","North America","Costa Rica",2020,4,26,693,6,5.429,6,0,0.286,136.039,1.178,1.066,1.178,0,0.056,37,8932,1.753,0.007,163,0.032,NA,NA,"people tested (incl. non-PCR)",75.93,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
"30440","NPL","Asia","Nepal",2020,4,10,9,0,0.571,0,0,0,0.309,0,0.02,0,0,0,630,3525,0.121,0.022,317,0.011,554.75,0.002,"tests performed",96.3,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
"20927","JOR","Asia","Jordan",2020,6,27,1104,18,13.714,9,0,0,108.202,1.764,1.344,0.882,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",48.15,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,0.735
"4127","BGR","Europe","Bulgaria",2020,6,28,4625,112,107.571,216,1,2.429,665.617,16.119,15.481,31.086,0.144,0.35,1528,132571,19.079,0.22,2296,0.33,21.344,0.047,"tests performed",36.11,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.813
"32818","PRY","South America","Paraguay",2020,4,30,249,10,5.143,9,0,0,34.91,1.402,0.721,1.262,0,0,449,9903,1.388,0.063,427,0.06,83.028,0.012,"tests performed",94.44,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.702
"1161","AND","Europe","Andorra",2020,9,5,1215,16,13,53,0,0,15725.102,207.08,168.252,685.951,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858
"25973","MDV","Asia","Maldives",2020,6,8,1903,2,18.571,8,1,0.429,3520.54,3.7,34.357,14.8,1.85,0.793,NA,NA,NA,NA,812,1.502,43.723,0.023,"samples tested",NA,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.717
"34302","SAU","Asia","Saudi Arabia",2020,3,19,171,38,18,0,0,0,4.912,1.092,0.517,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",68.52,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,0.853
"27462","MNG","Asia","Mongolia",2020,7,11,227,0,1,0,0,0,69.243,0,0.305,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",60.19,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.741
"13947","FRA","Europe","France",2020,6,10,154591,403,466.571,29296,87,50.857,2368.357,6.174,7.148,448.819,1.333,0.779,38187,NA,NA,0.585,32918,0.504,70.553,0.014,"people tested",72.22,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901
"10185","CZE","Europe","Czech Republic",2020,8,29,23777,477,318,419,1,1.143,2220.286,44.542,29.695,39.126,0.093,0.107,6568,899418,83.987,0.613,7708,0.72,24.239,0.041,"tests performed",36.11,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888
"41443","VCT","North America","Saint Vincent and the Grenadines",2020,8,13,57,0,0.143,0,0,0,513.759,0,1.288,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.723
"9246","CUB","North America","Cuba",2020,4,18,923,61,51.286,31,4,2.286,81.489,5.386,4.528,2.737,0.353,0.202,1770,26982,2.382,0.156,1704,0.15,33.226,0.03,"tests performed",83.33,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
"17718","HRV","Europe","Croatia",2020,5,30,2245,0,0.286,103,1,0.571,546.858,0,0.07,25.09,0.244,0.139,635,66144,16.112,0.155,754,0.184,2639,0,"people tested",50.93,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.831
"8803","COM","Africa","Comoros",2020,8,6,388,0,1.429,7,0,0,446.185,0,1.643,8.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
"23591","LCA","North America","Saint Lucia",2020,4,11,15,1,0.286,0,0,0,81.686,5.446,1.556,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,183629,293.187,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.747
"6354","BTN","Asia","Bhutan",2020,6,11,62,3,2.143,0,0,0,80.351,3.888,2.777,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",83.33,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612
"6856","CAN","North America","Canada",2020,2,25,11,2,0.429,0,0,0,0.291,0.053,0.011,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.926
"27565","MNP","Oceania","Northern Mariana Islands",2020,5,7,15,1,0.143,2,0,0,260.611,17.374,2.482,34.748,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,57557,119.878,NA,NA,NA,NA,NA,194.994,NA,NA,NA,NA,NA,76.74,NA
"20276","ITA","Europe","Italy",2020,3,25,69176,5249,5381.429,6820,743,616.429,1144.127,86.815,89.005,112.798,12.289,10.195,NA,NA,NA,NA,NA,NA,NA,NA,"",91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88
"6653","CAF","Africa","Central African Republic",2020,4,21,12,0,0.143,0,0,0,2.485,0,0.03,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",68.52,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.367
"17429","HND","North America","Honduras",2020,4,30,771,33,36,71,5,3.429,77.843,3.332,3.635,7.168,0.505,0.346,NA,NA,NA,NA,NA,NA,NA,NA,"",100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,0.617
"35740","SOM","Africa","Somalia",2020,3,28,3,1,0.286,0,0,0,0.189,0.063,0.018,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",52.78,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA
"43483","","","International",2020,2,5,10,10,1.429,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38746","THA","Asia","Thailand",2020,7,25,3282,3,5.143,58,0,0,47.02,0.043,0.074,0.831,0,0,2200,364062,5.216,0.032,2491,0.036,484.361,0.002,"people tested",49.07,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
"20169","ISR","Asia","Israel",2020,8,24,103151,1071,1495.857,834,15,21.286,11917.337,123.736,172.821,96.354,1.733,2.459,30133,2285863,264.092,3.481,23846,2.755,15.941,0.063,"tests performed",34.26,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.903
"26801","MLT","Europe","Malta",2020,3,15,19,1,2.286,0,0,0,43.031,2.265,5.177,0,0,0,130,1473,3.336,0.294,133,0.301,58.188,0.017,"tests performed",NA,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878
"40127","UGA","Africa","Uganda",2020,4,3,45,1,4.429,0,0,0,0.984,0.022,0.097,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"samples tested",93.52,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
"2386","AUT","Europe","Austria",2020,2,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.908
"41138","VAT","Europe","Vatican",2020,4,11,8,0,0.143,0,0,0,9888.752,0,176.585,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA
"8700","COL","South America","Colombia",2020,9,8,671848,5327,8097.143,21615,203,278.857,13203.811,104.691,159.133,424.799,3.99,5.48,21479,2819479,55.411,0.422,24540,0.482,3.031,0.33,"samples tested",NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
"34929","SGP","Asia","Singapore",2020,3,5,112,2,2.714,0,0,0,19.144,0.342,0.464,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",25,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.932
"22437","KOR","Asia","South Korea",2020,6,28,12715,62,42,282,0,0.286,248.005,1.209,0.819,5.5,0,0.006,8776,1232690,24.043,0.171,10900,0.213,259.524,0.004,"people tested",56.94,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.903
"24012","LKA","Asia","Sri Lanka",2020,3,15,11,5,1.429,0,0,0,0.514,0.234,0.067,0,0,0,65,273,0.013,0.003,31,0.001,21.7,0.046,"tests performed",49.07,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.77
"39260","TTO","North America","Trinidad and Tobago",2020,8,8,225,15,8,8,0,0,160.773,10.718,5.716,5.716,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",60.19,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.784
"26339","MKD","Europe","Macedonia",2020,1,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757
"38710","THA","Asia","Thailand",2020,6,19,3141,0,2.286,58,0,0,45,0,0.033,0.831,0,0,3511,288088,4.127,0.05,3783,0.054,1655.062,0.001,"people tested",59.26,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
"43241","OWID_WRL","","World",2020,2,22,77805,1085,1528.714,2359,112,118.857,9.982,0.139,0.196,0.303,0.014,0.015,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,NA
"3884","BGD","Asia","Bangladesh",2020,5,5,10143,688,604.286,182,5,4.286,61.589,4.178,3.669,1.105,0.03,0.026,5705,93403,0.567,0.035,5524,0.034,9.141,0.109,"samples tested",89.81,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
"29024","NAM","Africa","Namibia",2020,9,13,9604,167,155.714,98,0,1.571,3779.739,65.724,61.283,38.569,0,0.618,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.647
"5680","BRA","South America","Brazil",2020,2,15,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",5.56,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.759
"12144","ERI","Africa","Eritrea",2020,4,23,39,0,0.571,0,0,0,10.997,0,0.161,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",93.52,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.44
"30505","NPL","Asia","Nepal",2020,6,14,5335,273,346.143,18,2,1,183.102,9.37,11.88,0.618,0.069,0.034,6089,133377,4.578,0.209,5310,0.182,15.34,0.065,"tests performed",92.59,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
"4288","BHR","Asia","Bahrain",2020,3,22,306,21,13.571,1,0,0.143,179.833,12.341,7.976,0.588,0,0.084,NA,NA,NA,NA,1684,0.99,124.084,0.008,"units unclear",69.44,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.846
"1906","ATG","North America","Antigua and Barbuda",2020,3,15,1,1,NA,0,0,NA,10.212,10.212,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78
"23854","LIE","Europe","Liechtenstein",2020,6,24,83,0,0,1,0,0,2176.364,0,0,26.221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.916
"30695","NZL","Oceania","New Zealand",2020,4,6,911,39,51.286,1,0,0,188.917,8.088,10.635,0.207,0,0,2908,43126,8.943,0.603,3063,0.635,59.724,0.017,"tests performed",96.3,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917
"33486","QAT","Asia","Qatar",2020,6,6,65495,1754,1798.286,49,4,1.857,22732.952,608.804,624.175,17.008,1.388,0.645,5029,251391,87.256,1.746,4772,1.656,2.654,0.377,"people tested",83.33,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,0.856
"19300","IRN","Asia","Iran",2020,5,24,133521,1869,2161.286,7359,59,60.286,1589.669,22.252,25.732,87.614,0.702,0.718,19233,800519,9.531,0.229,16226,0.193,7.508,0.133,"tests performed",52.78,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798
"26931","MLT","Europe","Malta",2020,7,23,678,1,0.714,9,0,0,1535.538,2.265,1.618,20.383,0,0,931,117840,266.885,2.109,898,2.034,1257.2,0.001,"tests performed",NA,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878
"1092","AND","Europe","Andorra",2020,6,28,855,0,0,52,0,0,11065.812,0,0,673.008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",38.89,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858
"26788","MLT","Europe","Malta",2020,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,169,0.383,0.011,18,0.041,NA,NA,"tests performed",NA,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878
"9171","CRI","North America","Costa Rica",2020,8,5,19837,435,499,181,10,8,3894.102,85.393,97.956,35.531,1.963,1.57,1799,85339,16.752,0.353,1742,0.342,NA,NA,"people tested (incl. non-PCR)",62.96,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
"42213","VNM","Asia","Vietnam",2020,7,24,412,4,5.571,0,0,0,4.233,0.041,0.057,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",51.85,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694
"30034","NLD","Europe","Netherlands",2020,7,31,53963,342,222.714,6140,0,0.143,3149.308,19.959,12.998,358.334,0,0.008,NA,NA,NA,NA,17094,0.998,76.753,0.013,"people tested",39.81,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.931
"14032","FRA","Europe","France",2020,9,3,293024,7017,5633.857,30686,25,20.286,4489.172,107.501,86.312,470.114,0.383,0.311,167136,NA,NA,2.561,135699,2.079,24.086,0.042,"people tested",NA,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901
"38770","THA","Asia","Thailand",2020,8,18,3378,0,3.857,58,0,0,48.395,0,0.055,0.831,0,0,1868,397276,5.692,0.027,1147,0.016,297.37,0.003,"people tested",46.3,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
"42507","YEM","Asia","Yemen",2020,6,5,453,50,25,103,15,6.571,15.188,1.676,0.838,3.453,0.503,0.22,NA,NA,NA,NA,NA,NA,NA,NA,"",58.33,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
"7794","CIV","Africa","Cote d'Ivoire",2020,4,6,261,16,13.714,3,1,0.286,9.895,0.607,0.52,0.114,0.038,0.011,NA,NA,NA,NA,NA,NA,NA,NA,"",80.56,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.492
"42517","YEM","Asia","Yemen",2020,6,15,728,23,34.571,164,4,7.429,24.408,0.771,1.159,5.499,0.134,0.249,NA,NA,NA,NA,NA,NA,NA,NA,"",58.33,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
"13651","FLK","South America","Falkland Islands",2020,5,4,13,0,0,0,0,0,3732.415,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",75.93,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA
"32406","PRI","North America","Puerto Rico",2020,4,8,573,60,47.714,23,2,2.143,200.291,20.973,16.678,8.04,0.699,0.749,NA,NA,NA,NA,NA,NA,NA,NA,"",93.52,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA
"27939","MRT","Africa","Mauritania",2020,5,21,131,50,17.429,4,0,0.286,28.174,10.753,3.748,0.86,0,0.061,NA,NA,NA,NA,NA,NA,NA,NA,"",77.78,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.52
"40375","UKR","Europe","Ukraine",2020,5,31,23204,393,374.857,696,17,13,530.574,8.986,8.571,15.914,0.389,0.297,NA,NA,NA,NA,9515,0.218,25.383,0.039,"tests performed",79.63,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751
"1075","AND","Europe","Andorra",2020,6,11,852,0,0.143,51,0,0,11026.985,0,1.849,660.066,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",38.89,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858
"19677","ISL","Europe","Iceland",2020,1,4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.935
"34884","SGP","Asia","Singapore",2020,1,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",13.89,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.932
"8870","CPV","Africa","Cape Verde",2020,4,17,55,0,6.857,1,0,0,98.923,0,12.333,1.799,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",79.63,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.654
